date,row_type,row_count,col_type,col_count,ExcessReturn
2017-10,Inv,3,Size,2,-0.022326732624816433
2017-11,Inv,3,Size,2,-0.08837282554172028
2017-12,Inv,3,Size,2,-0.03659731189505492
2018-01,Inv,3,Size,2,-0.04061513453428429
2017-07,Inv,4,Size,2,-0.012077349208142053
2017-08,Inv,4,Size,2,0.03439227238088798
2017-09,Inv,4,Size,2,0.00984265177258473
2017-10,Inv,4,Size,2,-0.02647922051960049
2017-11,Inv,4,Size,2,-0.08222530082555765
2017-12,Inv,4,Size,2,-0.013121544126935227
2018-01,Inv,4,Size,2,-0.03860688159684661
2017-07,Inv,5,Size,2,-0.021378605928324006
2017-08,Inv,5,Size,2,0.03164707539210082
2017-09,Inv,5,Size,2,0.03149774571873165
2017-10,Inv,5,Size,2,-0.015610179104600178
2017-11,Inv,5,Size,2,-0.07421127655216736
2017-12,Inv,5,Size,2,-0.014935321702326294
2018-01,Inv,5,Size,2,-0.02009576128179503
2017-07,Inv,1,Size,3,0.0267848044469354
2017-08,Inv,1,Size,3,0.01508005041414883
2017-09,Inv,1,Size,3,0.004278236824742694
2017-10,Inv,1,Size,3,-0.03735430910241515
2017-11,Inv,1,Size,3,-0.05515003714726011
2017-12,Inv,1,Size,3,-0.035677897098035476
2018-01,Inv,1,Size,3,-0.02447684904280451
2017-07,Inv,2,Size,3,0.03766575117805818
2017-08,Inv,2,Size,3,0.03461255457926352
2017-09,Inv,2,Size,3,0.011331052091107048
2017-10,Inv,2,Size,3,-0.04590151425566322
2017-11,Inv,2,Size,3,-0.05113946614520515
2017-12,Inv,2,Size,3,-0.02705439692359557
2018-01,Inv,2,Size,3,-0.02757027190317449
2017-07,Inv,3,Size,3,0.014493754380781237
2017-08,Inv,3,Size,3,0.019958388802816193
2017-09,Inv,3,Size,3,0.006596386076779885
2017-10,Inv,3,Size,3,-0.02588844879124786
2017-11,Inv,3,Size,3,-0.07087352329067768
2017-12,Inv,3,Size,3,-0.023458960356540794
2018-01,Inv,3,Size,3,-0.021608614351911345
2017-07,Inv,4,Size,3,-0.0023485274657475573
2017-08,Inv,4,Size,3,0.022819860001928316
2017-09,Inv,4,Size,3,0.008331349457958617
2017-10,Inv,4,Size,3,-0.022243828365174387
2017-11,Inv,4,Size,3,-0.06158644251304708
2017-12,Inv,4,Size,3,-0.020018818720271902
2018-01,Inv,4,Size,3,-0.02258242709305972
2017-07,Inv,5,Size,3,0.007889422058214683
2017-08,Inv,5,Size,3,0.03074598143777455
2017-09,Inv,5,Size,3,0.0145410901932626
2017-10,Inv,5,Size,3,-0.02770351269894101
2017-11,Inv,5,Size,3,-0.05826205977937847
2017-12,Inv,5,Size,3,-0.01813715083466502
2018-01,Inv,5,Size,3,-0.028424573099516813
2017-07,Inv,1,Size,4,0.06062696466313255
2017-08,Inv,1,Size,4,0.05279008708504341
2017-09,Inv,1,Size,4,0.0019781386087473203
2017-10,Inv,1,Size,4,-0.036606231508829364
2017-11,Inv,1,Size,4,-0.038864208477086694
2017-12,Inv,1,Size,4,-0.02771011825731005
2018-01,Inv,1,Size,4,-0.009740164105475938
2017-07,Inv,2,Size,4,0.057763982021255864
2017-08,Inv,2,Size,4,0.024427153659789962
2017-09,Inv,2,Size,4,0.0010470015068444682
2017-10,Inv,2,Size,4,-0.0304707466096166
2017-11,Inv,2,Size,4,-0.05427234789194433
2017-12,Inv,2,Size,4,-0.017114884455877884
2018-01,Inv,2,Size,4,-0.011134352601547015
2017-07,Inv,3,Size,4,0.04629365934493329
2017-08,Inv,3,Size,4,0.021821077683199165
2017-09,Inv,3,Size,4,0.014213070022474407
2017-10,Inv,3,Size,4,-0.02266963809532978
2017-11,Inv,3,Size,4,-0.06181665077369431
2017-12,Inv,3,Size,4,-0.021724260566869904
2018-01,Inv,3,Size,4,-0.036840730399493975
2017-07,Inv,4,Size,4,0.02282693127977914
2017-08,Inv,4,Size,4,0.014048706603583861
2017-09,Inv,4,Size,4,0.02510282455113279
2017-10,Inv,4,Size,4,-0.008200033028405463
2017-11,Inv,4,Size,4,-0.052227610444129186
2017-12,Inv,4,Size,4,-0.012239044486924562
2018-01,Inv,4,Size,4,-0.015195477357504898
