Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
20,2015/6/30,1172778772,877250191,295528580.8,12974564.43
20,2015/12/31,1154989593,841052363.6,313937229.7,-2926167.55
20,2016/6/30,619748378.1,301068859.7,318679518.4,8201759.85
20,2016/12/31,632475542.4,312776973.8,319698568.6,8390973.58
20,2017/6/30,683400353.7,361555313.1,321845040.6,1977857.97
20,2017/12/31,629762731.4,309089753.4,320672978,5317858.14
20,2018/6/30,593599038.6,270132927,323466111.6,2542109.7
21,2014/6/30,14459189354,9566066853,4893122500,-4076312.5
21,2014/12/31,14450420809,9391399357,5059021452,259746573.8
21,2015/6/30,14318067899,9083686920,5234380979,159411477.1
21,2015/12/31,14337515272,9131834480,5205680793,197691231.1
21,2016/6/30,10472636664,5151101950,5321534715,298836384.9
21,2016/12/31,11717371550,6420043129,5297328421,338822133.6
21,2017/6/30,14697448020,8967181741,5730266280,383655730.7
21,2017/12/31,16599483730,10670724237,5928759494,733982956.1
21,2018/6/30,14882434070,8938522118,5943911952,230328592.1
22,2014/6/30,7470426613,2703614277,4766812336,338134355
22,2014/12/31,6935824200,2060224599,4875599600,671869131.3
22,2015/6/30,6711610326,1732334564,4979275762,343752048
22,2015/12/31,6913772877,1684462447,5229310430,728101560.4
22,2016/6/30,6626761280,1323717614,5303043667,382293914.4
22,2016/12/31,6620476710,983482973.4,5636993736,768119429.6
22,2017/6/30,6784421549,1141203393,5643218155,377476971.2
22,2017/12/31,7975470563,1408427654,6567042910,867552235.7
22,2018/6/30,7028586134,1731540985,5297045149,519407416.8
23,2014/6/30,1328219798,919398754.8,408821043.6,-297009.65
23,2014/12/31,1474001953,1049438615,424563337.7,22856486.03
23,2015/6/30,1459989244,1029971174,430018069.7,16015594.28
23,2015/12/31,1565865590,1119314056,446551533.7,52897279.5
23,2016/6/30,1500671651,1051238838,449432813.1,14766534.14
23,2016/12/31,1513965159,1058360941,455604217.6,19195204.53
23,2017/6/30,1715007186,1247839425,467167761.1,2611242.2
23,2017/12/31,1951619399,1472820711,478798688.3,21918231.76
23,2018/6/30,1965822393,1497592052,468230340.8,121197.34
24,2014/6/30,1.40954E+11,1.01406E+11,39548117982,3344797445
24,2014/12/31,1.51692E+11,1.07946E+11,43746779113,8308411058
24,2015/6/30,1.68809E+11,1.2141E+11,47398829986,3469043559
25,2014/6/30,741757937.2,533454132.8,208303804.4,5133223.81
25,2014/12/31,806324777.8,603994417.7,202330360.1,9189872.48
25,2015/6/30,1143974813,300815736.4,843159076.6,8497989.68
25,2015/12/31,1168667927,290079523.9,878588403.6,46898917.36
25,2016/6/30,1167329465,270771572,896557892.8,18527842.22
25,2016/12/31,1189001075,280464738.8,908536336.2,31800579.85
25,2017/6/30,1217998856,277355463.7,940643392,23712476.5
25,2017/12/31,1403314594,405291020.5,998023573.9,68235005.13
25,2018/6/30,1478584645,444901981.1,1033682664,28519617.41
26,2014/6/30,3689550706,2100760802,1588789904,102317486.4
26,2014/12/31,3657781647,2021301360,1636480287,158945019.1
26,2015/6/30,3820850107,2143203248,1677646859,94037793.69
